Sol,Index,Drive,Site X,Site Y,Site Z,Loc X,Loc Y,Loc Z,Shift X,Shift Y,Shift Z
449,26,0,0.0000,0.0000,0.0000,-2506.6460,763.6080,35.1320,-2506.6460,763.6080,35.1320
455,26,96,-1.4460,22.9830,4.8570,-2508.0220,786.1730,39.8830,-2506.5770,763.1910,35.0260
456,26,218,11.2520,30.7730,7.2610,-2495.6180,793.6760,42.5180,-2506.8700,762.9030,35.2570
460,26,470,-12.2510,60.4290,10.5280,-2518.3890,823.1590,45.6990,-2506.1380,762.7300,35.1710
461,26,630,-9.1920,71.1480,11.4930,-2515.4680,833.6780,46.6060,-2506.2760,762.5300,35.1130
464,26,756,-16.7530,77.4450,12.7650,-2522.8760,839.7100,47.8270,-2506.1230,762.2650,35.0620
474,26,850,-12.0750,81.2300,13.2550,-2517.9750,843.4050,48.3190,-2505.9000,762.1750,35.0640
477,26,1004,-8.4180,83.6240,13.5430,-2514.1670,845.7420,49.0570,-2505.7490,762.1180,35.5140
501,26,1154,-20.4320,71.4650,12.0430,-2526.3060,833.8660,47.0820,-2505.8740,762.4010,35.0390
502,26,1222,-21.7440,68.4120,11.5650,-2527.8140,831.0390,46.7420,-2506.0710,762.6270,35.1770
535,26,1652,58.6470,51.1180,8.7560,-2448.9460,813.4320,44.3890,-2507.5930,762.3140,35.6330
536,26,2018,129.4440,43.4590,7.8070,-2378.7480,805.4770,43.4440,-2508.1920,762.0180,35.6370
538,26,2548,135.1320,-39.7310,-6.7640,-2374.5250,723.2100,28.9610,-2509.6570,762.9410,35.7250
539,26,3008,92.9600,-130.4260,-8.7900,-2416.2590,633.7430,26.2630,-2509.2190,764.1690,35.0530
541,26,3482,35.6650,-221.8220,-8.3110,-2473.2240,544.1230,26.5120,-2508.8890,765.9450,34.8230
542,26,4200,-33.5670,-334.9430,-9.5330,-2541.4620,432.5970,25.4570,-2507.8950,767.5400,34.9900
543,26,5150,-77.1620,-434.2740,-6.0320,-2584.8170,334.7940,28.7460,-2507.6550,769.0680,34.7780
548,26,5214,-84.9980,-444.8570,-5.2580,-2592.5830,323.8410,29.8120,-2507.5850,768.6980,35.0700
551,26,5226,-85.4300,-444.8130,-5.1990,-2593.0360,323.8600,29.9080,-2507.6060,768.6730,35.1070
555,27,0,0.0000,0.0000,0.0000,-2759.7460,337.6590,42.5450,-2759.7460,337.6590,42.5450
557,28,0,0.0000,0.0000,0.0000,-2779.8030,362.5440,43.3910,-2779.8030,362.5440,43.3910
